cell,n,baseline_faithfulness_mean,attacked_faithfulness_mean,attacked_faithfulness_ci_low,attacked_faithfulness_ci_high,faithfulness_drop_mean,faithfulness_drop_ci_low,faithfulness_drop_ci_high,integrity_degraded_rate,integrity_degraded_ci_low,integrity_degraded_ci_high,answer_relevance_mean,answer_relevance_ci_low,answer_relevance_ci_high,context_relevance_mean,context_relevance_ci_low,context_relevance_ci_high
ipi,150,0.875,0.6133333333333333,0.5455277777777778,0.6811388888888887,0.26166666666666666,0.16831944444444447,0.3511111111111111,0.4666666666666667,0.38666666666666666,0.54,0.024149828368753557,0.007637683029243729,0.04636613405413317,0.8833333333333333,0.8533333333333334,0.915
poiA,150,0.875,0.9190000000000002,0.8825333333333334,0.9525722222222222,-0.04399999999999999,-0.09323333333333332,0.009680555555555543,0.09333333333333334,0.05316666666666682,0.14,0.7866933109759476,0.7626816771119067,0.8096025262889154,0.9883333333333333,0.975,0.9983333333333333
poiJ,150,0.875,0.9333333333333333,0.898888888888889,0.9655555555555554,-0.058333333333333334,-0.11277777777777778,-0.0022083333333333486,0.08,0.04,0.12666666666666668,0.4166553637164754,0.35600899053557633,0.48144086541014375,0.8216666666666667,0.7849583333333334,0.86
qInj,150,0.875,0.2822222222222222,0.21888888888888886,0.34777777777777774,0.5927777777777777,0.5071944444444445,0.6727916666666666,0.7333333333333333,0.66,0.8,0.032926814127826685,0.00971971446500501,0.06099377102315086,0.5766666666666667,0.5033333333333333,0.6466666666666666
